timestamp,date (UTC),unit id,sensor type,measurement type,data key,value
1609517393442,01.01.2021 16:09:53:442,datalogger63011d,WuhanIAQ,CO2 concentration,WUHAN_IAQ_CO2,401.0
1609517397902,01.01.2021 16:09:57:902,datalogger63011d,WuhanIAQ,CO2 concentration,WUHAN_IAQ_CO2,400.0
1609517403452,01.01.2021 16:10:03:452,datalogger63011d,WuhanIAQ,CO2 concentration,WUHAN_IAQ_CO2,401.0
1609517407872,01.01.2021 16:10:07:872,datalogger63011d,WuhanIAQ,CO2 concentration,WUHAN_IAQ_CO2,401.0
1609517413493,01.01.2021 16:10:13:493,datalogger63011d,WuhanIAQ,CO2 concentration,WUHAN_IAQ_CO2,400.0
1609517417873,01.01.2021 16:10:17:873,datalogger63011d,WuhanIAQ,CO2 concentration,WUHAN_IAQ_CO2,400.0
1609517423632,01.01.2021 16:10:23:632,datalogger63011d,WuhanIAQ,CO2 concentration,WUHAN_IAQ_CO2,400.0
1609517427904,01.01.2021 16:10:27:904,datalogger63011d,WuhanIAQ,CO2 concentration,WUHAN_IAQ_CO2,400.0
1609517433522,01.01.2021 16:10:33:522,datalogger63011d,WuhanIAQ,CO2 concentration,WUHAN_IAQ_CO2,401.0
1609517438115,01.01.2021 16:10:38:115,datalogger63011d,WuhanIAQ,CO2 concentration,WUHAN_IAQ_CO2,402.0
1609517443624,01.01.2021 16:10:43:624,datalogger63011d,WuhanIAQ,CO2 concentration,WUHAN_IAQ_CO2,404.0
1609517448122,01.01.2021 16:10:48:122,datalogger63011d,WuhanIAQ,CO2 concentration,WUHAN_IAQ_CO2,406.0
1609517453613,01.01.2021 16:10:53:613,datalogger63011d,WuhanIAQ,CO2 concentration,WUHAN_IAQ_CO2,407.0
1609517458082,01.01.2021 16:10:58:082,datalogger63011d,WuhanIAQ,CO2 concentration,WUHAN_IAQ_CO2,406.0
1609517463623,01.01.2021 16:11:03:623,datalogger63011d,WuhanIAQ,CO2 concentration,WUHAN_IAQ_CO2,406.0
1609517468092,01.01.2021 16:11:08:092,datalogger63011d,WuhanIAQ,CO2 concentration,WUHAN_IAQ_CO2,407.0
1609517473613,01.01.2021 16:11:13:613,datalogger63011d,WuhanIAQ,CO2 concentration,WUHAN_IAQ_CO2,410.0
1609517478094,01.01.2021 16:11:18:094,datalogger63011d,WuhanIAQ,CO2 concentration,WUHAN_IAQ_CO2,411.0
1609517483613,01.01.2021 16:11:23:613,datalogger63011d,WuhanIAQ,CO2 concentration,WUHAN_IAQ_CO2,414.0
1609517488102,01.01.2021 16:11:28:102,datalogger63011d,WuhanIAQ,CO2 concentration,WUHAN_IAQ_CO2,413.0
1609517493632,01.01.2021 16:11:33:632,datalogger63011d,WuhanIAQ,CO2 concentration,WUHAN_IAQ_CO2,411.0
1609517498082,01.01.2021 16:11:38:082,datalogger63011d,WuhanIAQ,CO2 concentration,WUHAN_IAQ_CO2,409.0
1609517503652,01.01.2021 16:11:43:652,datalogger63011d,WuhanIAQ,CO2 concentration,WUHAN_IAQ_CO2,409.0
1609517508102,01.01.2021 16:11:48:102,datalogger63011d,WuhanIAQ,CO2 concentration,WUHAN_IAQ_CO2,409.0
1609517513632,01.01.2021 16:11:53:632,datalogger63011d,WuhanIAQ,CO2 concentration,WUHAN_IAQ_CO2,411.0
1609517518062,01.01.2021 16:11:58:062,datalogger63011d,WuhanIAQ,CO2 concentration,WUHAN_IAQ_CO2,412.0
1609517523652,01.01.2021 16:12:03:652,datalogger63011d,WuhanIAQ,CO2 concentration,WUHAN_IAQ_CO2,413.0
1609517528052,01.01.2021 16:12:08:052,datalogger63011d,WuhanIAQ,CO2 concentration,WUHAN_IAQ_CO2,413.0
1609517533672,01.01.2021 16:12:13:672,datalogger63011d,WuhanIAQ,CO2 concentration,WUHAN_IAQ_CO2,414.0
1609517538062,01.01.2021 16:12:18:062,datalogger63011d,WuhanIAQ,CO2 concentration,WUHAN_IAQ_CO2,413.0
1609517543682,01.01.2021 16:12:23:682,datalogger63011d,WuhanIAQ,CO2 concentration,WUHAN_IAQ_CO2,413.0
1609517548112,01.01.2021 16:12:28:112,datalogger63011d,WuhanIAQ,CO2 concentration,WUHAN_IAQ_CO2,413.0
1609517553633,01.01.2021 16:12:33:633,datalogger63011d,WuhanIAQ,CO2 concentration,WUHAN_IAQ_CO2,410.0
1609517558202,01.01.2021 16:12:38:202,datalogger63011d,WuhanIAQ,CO2 concentration,WUHAN_IAQ_CO2,407.0
1609517563633,01.01.2021 16:12:43:633,datalogger63011d,WuhanIAQ,CO2 concentration,WUHAN_IAQ_CO2,404.0
1609517568102,01.01.2021 16:12:48:102,datalogger63011d,WuhanIAQ,CO2 concentration,WUHAN_IAQ_CO2,400.0
1609517573602,01.01.2021 16:12:53:602,datalogger63011d,WuhanIAQ,CO2 concentration,WUHAN_IAQ_CO2,400.0
1609517578082,01.01.2021 16:12:58:082,datalogger63011d,WuhanIAQ,CO2 concentration,WUHAN_IAQ_CO2,400.0
1609517583602,01.01.2021 16:13:03:602,datalogger63011d,WuhanIAQ,CO2 concentration,WUHAN_IAQ_CO2,400.0
1609517588132,01.01.2021 16:13:08:132,datalogger63011d,WuhanIAQ,CO2 concentration,WUHAN_IAQ_CO2,400.0
1609517593642,01.01.2021 16:13:13:642,datalogger63011d,WuhanIAQ,CO2 concentration,WUHAN_IAQ_CO2,400.0
1609517598082,01.01.2021 16:13:18:082,datalogger63011d,WuhanIAQ,CO2 concentration,WUHAN_IAQ_CO2,400.0
1609517603653,01.01.2021 16:13:23:653,datalogger63011d,WuhanIAQ,CO2 concentration,WUHAN_IAQ_CO2,400.0
1609517608093,01.01.2021 16:13:28:093,datalogger63011d,WuhanIAQ,CO2 concentration,WUHAN_IAQ_CO2,400.0
1609517613804,01.01.2021 16:13:33:804,datalogger63011d,WuhanIAQ,CO2 concentration,WUHAN_IAQ_CO2,400.0
1609517618093,01.01.2021 16:13:38:093,datalogger63011d,WuhanIAQ,CO2 concentration,WUHAN_IAQ_CO2,400.0
1609517623634,01.01.2021 16:13:43:634,datalogger63011d,WuhanIAQ,CO2 concentration,WUHAN_IAQ_CO2,400.0
1609517628093,01.01.2021 16:13:48:093,datalogger63011d,WuhanIAQ,CO2 concentration,WUHAN_IAQ_CO2,400.0
1609517633653,01.01.2021 16:13:53:653,datalogger63011d,WuhanIAQ,CO2 concentration,WUHAN_IAQ_CO2,400.0
1609517638052,01.01.2021 16:13:58:052,datalogger63011d,WuhanIAQ,CO2 concentration,WUHAN_IAQ_CO2,400.0
1609517643663,01.01.2021 16:14:03:663,datalogger63011d,WuhanIAQ,CO2 concentration,WUHAN_IAQ_CO2,400.0
1609517648072,01.01.2021 16:14:08:072,datalogger63011d,WuhanIAQ,CO2 concentration,WUHAN_IAQ_CO2,400.0
1609517653643,01.01.2021 16:14:13:643,datalogger63011d,WuhanIAQ,CO2 concentration,WUHAN_IAQ_CO2,400.0
1609517658102,01.01.2021 16:14:18:102,datalogger63011d,WuhanIAQ,CO2 concentration,WUHAN_IAQ_CO2,400.0
